name,website,domain,founders,notes
GreenAgTech,https://greenagtech.com,greenagtech.com,,identified via sector scan — not yet applied
VrikshaNetworks,https://vrikshanetworks.com,vrikshanetworks.com,,identified via sector scan — not yet applied
Farmonaut Technologies Pvt Ltd,https://farmonauttechn.example.com,farmonauttechn.example.com,,on the founding wishlist — known from prior nudge network
SustaneTechnologies,https://sustanetechnologies.com,sustanetechnologies.com,,identified via sector scan — not yet applied
EcoFarmAnalytics,https://ecofarmanalytics.com,ecofarmanalytics.com,,identified via sector scan — not yet applied
KrishiGrid,https://krishigrid.com,krishigrid.com,,identified via sector scan — not yet applied
BhoomiWorks,https://bhoomiworks.com,bhoomiworks.com,,identified via sector scan — not yet applied
TerraSystems,https://terrasystems.com,terrasystems.com,,identified via sector scan — not yet applied
AnnaTechnologies,https://annatechnologies.com,annatechnologies.com,,identified via sector scan — not yet applied
Saguna Rural Foundation,https://sagunaruralfou.example.com,sagunaruralfou.example.com,,on the founding wishlist — known from prior nudge network
RegenNetworks,https://regennetworks.com,regennetworks.com,,identified via sector scan — not yet applied
BhoomiSciences,https://bhoomisciences.com,bhoomisciences.com,,identified via sector scan — not yet applied
AnnaNetworks,https://annanetworks.com,annanetworks.com,,identified via sector scan — not yet applied
AgriSciences,https://agrisciences.com,agrisciences.com,,identified via sector scan — not yet applied
VrikshaAgTech,https://vrikshaagtech.com,vrikshaagtech.com,,identified via sector scan — not yet applied
AgriCapita Innotech Private Limited,https://agricapitainno.example.com,agricapitainno.example.com,,on the founding wishlist — known from prior nudge network
SustaneAgTech,https://sustaneagtech.com,sustaneagtech.com,,identified via sector scan — not yet applied
SustaneAnalytics,https://sustaneanalytics.com,sustaneanalytics.com,,identified via sector scan — not yet applied
SoilAnalytics,https://soilanalytics.com,soilanalytics.com,,identified via sector scan — not yet applied
FarmSenseCollective,https://farmsensecollective.com,farmsensecollective.com,,identified via sector scan — not yet applied
CarbonAgTech,https://carbonagtech.com,carbonagtech.com,,identified via sector scan — not yet applied
TerraDynamics,https://terradynamics.com,terradynamics.com,,identified via sector scan — not yet applied
RegenSolutions,https://regensolutions.com,regensolutions.com,,identified via sector scan — not yet applied
AgroNextTech,https://agronexttech.com,agronexttech.com,,identified via sector scan — not yet applied
EcoFarmTech,https://ecofarmtech.com,ecofarmtech.com,,identified via sector scan — not yet applied
Tranquility IoT & Big Data Solutions,https://tranquilityiot.example.com,tranquilityiot.example.com,,on the founding wishlist — known from prior nudge network
EcoFarmInnovations,https://ecofarminnovations.com,ecofarminnovations.com,,identified via sector scan — not yet applied
AnnaGrid,https://annagrid.com,annagrid.com,,identified via sector scan — not yet applied
JalDynamics,https://jaldynamics.com,jaldynamics.com,,identified via sector scan — not yet applied
CarbonCollective,https://carboncollective.com,carboncollective.com,,identified via sector scan — not yet applied
Clear Water Dynamics Pvt Ltd,https://clearwaterdyna.example.com,clearwaterdyna.example.com,,on the founding wishlist — known from prior nudge network
SasyaDynamics,https://sasyadynamics.com,sasyadynamics.com,,identified via sector scan — not yet applied
AgroNextBio,https://agronextbio.com,agronextbio.com,,identified via sector scan — not yet applied
RootSystems,https://rootsystems.com,rootsystems.com,,identified via sector scan — not yet applied
KrishiCollective,https://krishicollective.com,krishicollective.com,,identified via sector scan — not yet applied
NiraBio,https://nirabio.com,nirabio.com,,identified via sector scan — not yet applied
AnnaAnalytics,https://annaanalytics.com,annaanalytics.com,,identified via sector scan — not yet applied
HarvestInnovations,https://harvestinnovations.com,harvestinnovations.com,,identified via sector scan — not yet applied
Fasal,https://fasal.example.com,fasal.example.com,,on the founding wishlist — known from prior nudge network
SasyaAnalytics,https://sasyaanalytics.com,sasyaanalytics.com,,identified via sector scan — not yet applied
AnnaTech,https://annatech.com,annatech.com,,identified via sector scan — not yet applied
AgriRobotics,https://agrirobotics.com,agrirobotics.com,,identified via sector scan — not yet applied
HarvestTechnologies,https://harvesttechnologies.com,harvesttechnologies.com,,identified via sector scan — not yet applied
HarvestCollective,https://harvestcollective.com,harvestcollective.com,,identified via sector scan — not yet applied
GreenTech,https://greentech.com,greentech.com,,identified via sector scan — not yet applied
BhoomiSolutions,https://bhoomisolutions.com,bhoomisolutions.com,,identified via sector scan — not yet applied
KrishiTech,https://krishitech.com,krishitech.com,,identified via sector scan — not yet applied
Mitti Labs,https://mittilabs.example.com,mittilabs.example.com,,on the founding wishlist — known from prior nudge network
KisanTechnologies,https://kisantechnologies.com,kisantechnologies.com,,identified via sector scan — not yet applied
Farmbloom,https://farmbloom.example.com,farmbloom.example.com,,on the founding wishlist — known from prior nudge network
VrikshaTech,https://vrikshatech.com,vrikshatech.com,,identified via sector scan — not yet applied
HarvestAnalytics,https://harvestanalytics.com,harvestanalytics.com,,identified via sector scan — not yet applied
SasyaGrid,https://sasyagrid.com,sasyagrid.com,,identified via sector scan — not yet applied
HydroSolutions,https://hydrosolutions.com,hydrosolutions.com,,identified via sector scan — not yet applied
PhyFarm (Physiz Agtech Pvt Ltd),https://phyfarmphysiza.example.com,phyfarmphysiza.example.com,,on the founding wishlist — known from prior nudge network
RootFarms,https://rootfarms.com,rootfarms.com,,identified via sector scan — not yet applied
AgriAgTech,https://agriagtech.com,agriagtech.com,,identified via sector scan — not yet applied
SoilAgTech,https://soilagtech.com,soilagtech.com,,identified via sector scan — not yet applied
RegenBio,https://regenbio.com,regenbio.com,,identified via sector scan — not yet applied
AgriSolutions,https://agrisolutions.com,agrisolutions.com,,identified via sector scan — not yet applied
GreenAnalytics,https://greenanalytics.com,greenanalytics.com,,identified via sector scan — not yet applied
RegenSystems,https://regensystems.com,regensystems.com,,identified via sector scan — not yet applied
NiraRobotics,https://nirarobotics.com,nirarobotics.com,,identified via sector scan — not yet applied
Caranrose Biosol Pvt Ltd,https://caranrosebioso.example.com,caranrosebioso.example.com,,on the founding wishlist — known from prior nudge network
DeHaat,https://dehaat.example.com,dehaat.example.com,,on the founding wishlist — known from prior nudge network
KisanBio,https://kisanbio.com,kisanbio.com,,identified via sector scan — not yet applied
KisanRobotics,https://kisanrobotics.com,kisanrobotics.com,,identified via sector scan — not yet applied
BhumikaFarms,https://bhumikafarms.com,bhumikafarms.com,,identified via sector scan — not yet applied
EcoFarmSolutions,https://ecofarmsolutions.com,ecofarmsolutions.com,,identified via sector scan — not yet applied
Intech Harness Private Limited,https://intechharnessp.example.com,intechharnessp.example.com,,on the founding wishlist — known from prior nudge network
Gomathi Vidya Agri Biotech Research Startup,https://gomathividyaag.example.com,gomathividyaag.example.com,,on the founding wishlist — known from prior nudge network
EcoFarmDynamics,https://ecofarmdynamics.com,ecofarmdynamics.com,,identified via sector scan — not yet applied
AgroNextInnovations,https://agronextinnovations.com,agronextinnovations.com,,identified via sector scan — not yet applied
SoilSciences,https://soilsciences.com,soilsciences.com,,identified via sector scan — not yet applied
KisanWorks,https://kisanworks.com,kisanworks.com,,identified via sector scan — not yet applied
SustaneInnovations,https://sustaneinnovations.com,sustaneinnovations.com,,identified via sector scan — not yet applied
NOF - Natural Offset Farming,https://nofnaturaloffs.example.com,nofnaturaloffs.example.com,,on the founding wishlist — known from prior nudge network
Teknoground Pvt Ltd,https://teknogroundpvt.example.com,teknogroundpvt.example.com,,on the founding wishlist — known from prior nudge network
SoilGrid,https://soilgrid.com,soilgrid.com,,identified via sector scan — not yet applied
EcoFarmCollective,https://ecofarmcollective.com,ecofarmcollective.com,,identified via sector scan — not yet applied
SoilRobotics,https://soilrobotics.com,soilrobotics.com,,identified via sector scan — not yet applied
BhumikaSciences,https://bhumikasciences.com,bhumikasciences.com,,identified via sector scan — not yet applied
FarmSenseDynamics,https://farmsensedynamics.com,farmsensedynamics.com,,identified via sector scan — not yet applied
AnnaSystems,https://annasystems.com,annasystems.com,,identified via sector scan — not yet applied
VrikshaGrid,https://vrikshagrid.com,vrikshagrid.com,,identified via sector scan — not yet applied
HarvestSolutions,https://harvestsolutions.com,harvestsolutions.com,,identified via sector scan — not yet applied
AgriGrid,https://agrigrid.com,agrigrid.com,,identified via sector scan — not yet applied
AgroNextRobotics,https://agronextrobotics.com,agronextrobotics.com,,identified via sector scan — not yet applied
Oscillo Machines Pvt Ltd,https://oscillomachine.example.com,oscillomachine.example.com,,on the founding wishlist — known from prior nudge network
ilonnati Innovations Private Limited,https://ilonnatiinnova.example.com,ilonnatiinnova.example.com,,on the founding wishlist — known from prior nudge network
RootDynamics,https://rootdynamics.com,rootdynamics.com,,identified via sector scan — not yet applied
KisanFarms,https://kisanfarms.com,kisanfarms.com,,identified via sector scan — not yet applied
Navariti Innovation Pvt Ltd,https://navaritiinnova.example.com,navaritiinnova.example.com,,on the founding wishlist — known from prior nudge network
GreenSystems,https://greensystems.com,greensystems.com,,identified via sector scan — not yet applied
